,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
63333,MIA07CA141,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63334,CHI07CA295,Non-Fatal,Substantial,Airplane,"Ekornaas, Fred",SkyRanger II Kit,No,1.0,Reciprocating,0.0,1.0,0.0,0.0
63339,NYC07CA223,Non-Fatal,Substantial,Airplane,Beech,BE-55,No,2.0,Reciprocating,0.0,0.0,0.0,3.0
63341,MIA07CA143,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,5.0,0.0
63342,LAX07CA269,Non-Fatal,Substantial,Airplane,Stinson,108-2,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63343,DFW07CA195,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63347,DFW07IA204,Incident,Minor,Airplane,Mooney,M20TN,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63348,MIA07CA144,Non-Fatal,Substantial,Airplane,Cessna,177,No,1.0,Reciprocating,0.0,0.0,3.0,0.0
63349,LAX07CA271,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
63352,ANC07CA097,Non-Fatal,Substantial,Airplane,Cessna,185,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
63354,SEA07CA268,Non-Fatal,Substantial,Airplane,Mooney,M20D,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63356,NYC07CA222,Non-Fatal,Substantial,Airplane,Lancair,IV-P,Yes,1.0,Reciprocating,0.0,0.0,1.0,1.0
63359,LAX07FA272,Fatal(1),Substantial,Airplane,Grumman American,AA-5,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63360,CHI07CA296,Non-Fatal,Substantial,Airplane,Cessna,172 Skyhawk,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63365,NYC07CA231,Non-Fatal,Substantial,Airplane,Mooney,M20C,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63367,LAX07CA279,Non-Fatal,Substantial,Airplane,Cessna,172L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63371,CHI07CA298,Non-Fatal,Substantial,Airplane,Maule,M-4-220C,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63372,CHI07CA297,Non-Fatal,Substantial,Airplane,Boeing Stearman,E75,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63373,ATL07CA126,Non-Fatal,Substantial,Airplane,"Rans, Inc.",RV-9A,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63376,SEA07CA261,Non-Fatal,Substantial,Airplane,Aviat,A-1B,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63377,NYC07CA225,Non-Fatal,Substantial,Airplane,Piper,J3L-65,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63378,NYC07CA224,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63379,CHI07CA313,Non-Fatal,Substantial,Airplane,Hasch,Vans RV6,Yes,1.0,Reciprocating,0.0,0.0,0.0,2.0
63382,NYC07FA226,Fatal(1),Destroyed,Airplane,Piper,PA-32R-301,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63385,NYC07LA229,Non-Fatal,Substantial,Airplane,Israel Aircraft Industries,Astra SPX,No,2.0,Turbo Fan,0.0,0.0,1.0,3.0
63387,LAX07LA278,Non-Fatal,Substantial,Airplane,Skykits,Savannah ADV,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63389,LAX07CA275,Non-Fatal,Substantial,Airplane,Cessna,U206G,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63394,NYC07LA245,Non-Fatal,Substantial,Airplane,Beech,C-90,No,2.0,Turbo Prop,0.0,0.0,0.0,1.0
63395,NYC07FA228,Fatal(1),Substantial,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63399,NYC07CA230,Non-Fatal,Substantial,Airplane,Grenier,Kitfox IV,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63400,LAX07CA276,Non-Fatal,Substantial,Airplane,Cessna,177RG,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63401,DFW07CA202,Non-Fatal,Substantial,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63402,DFW07CA200,Non-Fatal,Substantial,Airplane,Vans,RV-7A,Yes,1.0,Reciprocating,0.0,0.0,1.0,0.0
63403,CHI07CA314,Non-Fatal,Substantial,Airplane,Aeronca,7AC,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63411,LAX07LA280,Non-Fatal,Substantial,Airplane,Root,Sherpa,Yes,1.0,Reciprocating,0.0,1.0,1.0,0.0
63412,SEA07CA265,Non-Fatal,Substantial,Airplane,Piper,PA 28-140,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63413,NYC07CA240,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63414,ANC07CA101,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63419,SEA07CA272,Non-Fatal,Substantial,Airplane,Jeffrey Wilson,Escapade,Yes,1.0,Reciprocating,0.0,0.0,0.0,2.0
63420,SEA07CA267,Non-Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
63421,NYC07CA238,Non-Fatal,Substantial,Airplane,Cessna,190,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63422,DEN07CA162,Non-Fatal,Substantial,Airplane,Cessna,182Q,No,1.0,Reciprocating,0.0,0.0,1.0,2.0
63423,DEN07CA161,Non-Fatal,Substantial,Airplane,Cessna,182P,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63430,NYC07LA233,Fatal(1),Substantial,Airplane,Temco,GC-1B,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63431,NYC07CA235,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63434,ANC07CA105,Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,0.0,0.0,0.0,5.0
63435,NYC07FA234,Non-Fatal,Destroyed,Airplane,Beech,H-18,No,2.0,Reciprocating,0.0,1.0,0.0,0.0
63436,MIA07FA154,Fatal(1),Destroyed,Airplane,North American,Navion,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63438,MIA07LA155,Fatal(1),Substantial,Airplane,Grumman,AA-5A,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63439,CHI07CA304,Non-Fatal,Substantial,Airplane,Beech,C23,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
63440,CHI07CA303,Non-Fatal,Substantial,Airplane,North American,SNJ-5,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63441,ANC07FA102,Fatal(1),Substantial,Airplane,Cessna,180,No,1.0,Reciprocating,1.0,1.0,0.0,0.0
63442,ANC07CA107,Non-Fatal,Substantial,Airplane,Piper,J3,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63446,LAX07CA287,Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63449,SEA07CA274,Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63450,SEA07CA273,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63451,SEA07CA271,Non-Fatal,Substantial,Airplane,Langley,Tri-Quickie,Yes,1.0,Reciprocating,0.0,0.0,2.0,0.0
63452,NYC07CA239,Non-Fatal,Substantial,Airplane,Taylorcraft,BC12-D,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
63455,MIA07LA158,Non-Fatal,Substantial,Airplane,Fly By Sea Co,COMP AIR 1,Yes,1.0,Turbo Prop,0.0,0.0,0.0,1.0
